id,fecha,produccion(Wh)
19,13/07/2020,16014.687
19,14/07/2020,14874.277
19,15/07/2020,13998.456
19,16/07/2020,15029.523
20,08/07/2020,12110.266
20,09/07/2020,11674.899
20,10/07/2020,17046.018
20,11/07/2020,10728.602
20,12/07/2020,16589.205
20,13/07/2020,16546.43
20,14/07/2020,16584.127
20,15/07/2020,16411.094
20,16/07/2020,17567.316
25,08/07/2020,9462
25,09/07/2020,10609
25,10/07/2020,15597
25,11/07/2020,8870
25,12/07/2020,13873
25,13/07/2020,10629
25,14/07/2020,13264
25,15/07/2020,8959
25,16/07/2020,13867
1,17/07/2020,37710.98
1,18/07/2020,40414.5
1,19/07/2020,36693.145
1,20/07/2020,40516.95
1,21/07/2020,35845.633
1,22/07/2020,38583.008
1,23/07/2020,35649.203
1,24/07/2020,39333.855
1,25/07/2020,34373.71
1,26/07/2020,24811.557
2,17/07/2020,28383
2,18/07/2020,31621
2,19/07/2020,26562
2,20/07/2020,29389
2,21/07/2020,29289
2,22/07/2020,31694
2,23/07/2020,29091
2,24/07/2020,31529
2,25/07/2020,28435
2,26/07/2020,17815
3,17/07/2020,33714
3,18/07/2020,35384
3,19/07/2020,31214
3,20/07/2020,33629
3,21/07/2020,29259
3,22/07/2020,34079
3,23/07/2020,28157
3,24/07/2020,35348
3,25/07/2020,31481
3,26/07/2020,20874
6,17/07/2020,13314
6,18/07/2020,13440
6,19/07/2020,13688
6,20/07/2020,11899
6,21/07/2020,11701
6,22/07/2020,9426
6,23/07/2020,13419
6,24/07/2020,12787
6,25/07/2020,8213
6,26/07/2020,8772
7,17/07/2020,15215
7,18/07/2020,16052
7,19/07/2020,12830
7,20/07/2020,15402
7,21/07/2020,16254
7,22/07/2020,16466
7,23/07/2020,14809
7,24/07/2020,17057
7,25/07/2020,14710
7,26/07/2020,8645
11,17/07/2020,22039.54
11,18/07/2020,23087.934
11,19/07/2020,19846.092
11,20/07/2020,22455.32
11,21/07/2020,22439.307
11,22/07/2020,23134.29
11,23/07/2020,20319.7
11,24/07/2020,23352.979
11,25/07/2020,22039.736
11,26/07/2020,13505.985
12,17/07/2020,35748
12,18/07/2020,34352
12,19/07/2020,28602
12,20/07/2020,31108
12,21/07/2020,32233
12,22/07/2020,34270
12,23/07/2020,32351
12,24/07/2020,34598
12,25/07/2020,29365
12,26/07/2020,19361
13,17/07/2020,44018
13,18/07/2020,40431
13,19/07/2020,34320
13,20/07/2020,41460
13,21/07/2020,39643
13,22/07/2020,45167
13,23/07/2020,41678
13,24/07/2020,42499
13,25/07/2020,39111
13,26/07/2020,21958
14,17/07/2020,16757.553
14,18/07/2020,13829.489
14,19/07/2020,12491.043
14,20/07/2020,14779.941
14,21/07/2020,14239.521
14,22/07/2020,13909.966
14,23/07/2020,14477.915
14,24/07/2020,15225.516
14,25/07/2020,14767.335
15,17/07/2020,28595.994
15,18/07/2020,27142.5
15,19/07/2020,26074.969
15,20/07/2020,29396.2
